sentiment,text,user
"negative","RT @nytimes: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mislead, or infl…","TanyaLaPree"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","BillGibbs10"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","kjkfisher"
"neutral","RT @LolathePeachZ06: Floridians - please research Gillum’s ties to Soros and Steyer. 😳\n\nWe don’t need that globalist interference in our st…","aliatra1968"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","Freshechelle"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","real_miffy_1985"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","1BLACKcreation"
"positive","RT @BillOReilly: The question is simple: how can millions of Americans even consider voting for far left politicians whose policies are lea…","USAFirst2018"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","shoo_choux"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","DianaShallard"
"neutral","The midterm elections are coming up soon, and we need to #getoutthevote for #Coloradokids and families! Chat with… https://t.co/7KBJbbZqKs","ColoradoKidsOrg"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","roadieric"
"positive","Rock the Vote, is hoping to engage young voters ahead of November's midterm elections by visiting over 2,000 high s… https://t.co/IgZPNsXU8x","PPNorCalAction"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","imtizzo01"
"neutral","We’ll need women from all across the political aisle running for office if we want to end the #gendergap in politic… https://t.co/gTtnep6K7S","SheShouldRun"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","onetomidnight"
"positive","RT @TechCrunch: Is the U.S. prepared to keep this fall's midterm elections secure? https://t.co/rhN8p7jIiw","stevecloran"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","kahteei"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","StopTheLibCoup"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","bellgel"
"neutral","How to Be a Democrat in Trump Country https://t.co/Vkvwf2lnws","rule53org"
"neutral","Today's #HotTakeTuesday guides us through interacting with candidates in the upcoming midterm elections on how to t… https://t.co/2uGrY8o1JR","aarpiowa"
"positive","The Civic Culture Coalition is making strides in the right direction by encouraging its young audiences to particip… https://t.co/vHwDqOR4QP","AmericaVotes"
"neutral","Hillary Clinton said President Trump is waging an “assault on our democracy,” and called on people to vote for Demo… https://t.co/v5ILYIvMo4","freedom_vine"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","mharvey816"
"positive","RT @HuffPostPol: Several women of color are poised to win this fall, promising to shake up the makeup of the country’s overwhelmingly white…","mmba"
"positive","RT @TXbonniejean: 2018 Midterm Elections \n\nNovember is coming fast‼️\n\nWe must UNITE and get out and #VoteRed \n\n#VoteRedToSaveAmerica…","Blackdi51264299"
"positive","RT @mtrubidoux: The right to vote is a privilege that is often neglected and taken for granted. Join us for a night of spoken word poetry a…","mrsrebeccadavis"
"positive","RT @human1time: @DanRather We should hear from many people.  I also wonder why it was important to leave a seat vacant for more than a year…","CharmaineL81"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","adrianscarney"
"positive","RT @InfoSecHotSpot: Symantec Offers Free Website Security Service for Midterm Elections https://t.co/14EE7xFgqS via @InfoSecHotSpot https:/…","pokemonparent"
"positive","I’m sure! Postpone it until after the midterm elections so that dems MAY Have a chance to vote him down. Democrats… https://t.co/sltCWMDDdV","Rock19682"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","PeterBBoylan"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","2dsea11"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","ohuhbubb"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","10thAmendment"
"negative","RT @nytimes: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mislead, or infl…","libertyvalance8"
"neutral","Trump Slams China for Crippling US Farmers Ahead of Midterm Elections https://t.co/E5vv7HhKKi","TOMTndean"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","RapeyTrumpofile"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","doreen_shore"
"neutral","RT @CBSNews: Brett Kavanaugh was supposed to be a selling point for GOP candidates in the midterm elections. But now he could become a liab…","LindaMc67133490"
"positive","@seanhannity Really Sean, this is nothing but a delay tactic. If they let them it will be pushed back till after the midterm elections.","Whiteagle106"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","Geofutures"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","livingdedgirl10"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","cdeansebastian"
"positive","RT @HillaryClinton: There are 50 days left until midterm elections. If you're good and mad and ready to rebuild our democracy, I'm asking y…","Cgoinggal"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","LundworksA"
"neutral","VOTE: 48 days and counting. \nhttps://t.co/otpTzO2Uoz","GlenGreen"
"negative","RT @nickconfessore: Folks: The New York Times needs your help. We’re looking for false information being spread deliberately to confuse, mi…","TornadoNovey"
"neutral","A pack of nuns will protest Donald Trump outside of Mar-a-Lago before 2018 midterms https://t.co/uvQBIgoKmk","ADVIA_media"
"negative","RT @LauraLoomer: \"Ilhan Omar and Rashida Tlaib appear set to become America’s first Muslim congresswomen.\"\n\nThey both hate Jewish people\n\nT…","klamarch"
